Object                                   Vmag   Distance_Mpc
PGC2831253                            18.0000     5.8587e+03
PGC2831294                            16.6000     1.4859e+03
PGC2831340                            18.1000     2.3637e+03
PGC3096589                            16.0000     3.5449e+02
PGC3096606                            16.6000     3.5727e+02
PGC3096614                            17.0000     4.1419e+02
PGC3096619                            19.4900     6.5193e+02
PGC3096621                            19.9900     8.5901e+02
PGC3096622                            19.7000     7.8705e+02
PGC3096628                            20.4100     8.7943e+02
PGC3096629                            19.1900     9.5280e+02
PGC3096633                            20.5000     6.3183e+02
PGC3096634                            20.1000     7.8705e+02
PGC3096635                            19.5400     6.2633e+02
PGC3096636                            18.7100     6.5615e+02
PGC3096638                            18.0000     6.4565e+02
PGC3096641                            19.8100     5.4075e+02
PGC3096645                            20.6300     2.7441e+02
PGC3096650                            17.0000     5.2553e+02
PGC3096654                            19.1000     7.7339e+02
PGC3096655                            19.8000     7.8451e+02
PGC3096656                            20.8100     8.8716e+02
PGC3096660                            18.4000     8.3946e+02
PGC3096671                            18.0000     6.8644e+02
PGC3096676                            17.9000     8.3407e+02
PGC3096688                            17.3000     6.5133e+02
PGC3096689                            17.2000     1.8863e+02
PGC3096692                            18.0000     9.6694e+02
PGC3096694                            17.2000     2.6436e+02
PGC3184458                            17.9500     7.8199e+02
PGC3184463                            18.9900     5.5463e+02
PGC3222299                            18.1400     5.2845e+02
PGC3222300                            18.0200     2.6571e+02
